标题／微博内容,信息属性,原创/转发,发布日期,原微博内容,认证类型,地域,城市,性别,全文内容,粉丝数,微博数,转,评,赞,话题,微博情绪,精准地域,中图地址,MD5-作者ID,MD5-mid,MD5-根微博mid,MD5-根微博用户UID,MD5-父微博ID,MD5-父微博用户ID
转发微博 ,非敏感,转发,2020/11/13 14:55,@长三角铁路 #合安高铁开始试运行# 【合安高铁肥西站探访】今天7点40分开始，小编在合安高铁试运行列车上体验了4个来回[笑cry]，细细体验了一下合肥安庆间的高铁速度。最后从肥西站下车，那就来一组肥西站的最新美图吧！#在路上看中国# @中国铁路 @微博交通 ???,普通,浙江,衢州,男,转发微博 【原微博】 @长三角铁路 #合安高铁开始试运行# 【合安高铁肥西站探访】今天7点40分开始，小编在合安高铁试运行列车上体验了4个来回[笑cry]，细细体验了一下合肥安庆间的高铁速度。最后从肥西站下车，那就来一组肥西站的最新美图吧！#在路上看中国# @中国铁路 @微博交通 ???,104,7029,0,0,0,在路上看中国;合安高铁开始试运行,喜悦,其他,"[http://wx1.sinaimg.cn/bmiddle/726c1f87ly1gknfcbtwm9j21400u0jy5.jpg""&&&&""http://wx1.sinaimg.cn/bmiddle/726c1f87ly1gknfccwpudj20u014079p.jpg""&&&&""http://wx2.sinaimg.cn/bmiddle/726c1f87ly1gknfcdna1uj21400u0qcp.jpg""&&&&""http://wx1.sinaimg.cn/bmiddle/726c1f87ly1gknfceakj2j21400u0n65.jpg""&&&&""http://wx1.sinaimg.cn/bmiddle/726c1f87ly1gknfcgn9z4j21400u00xc.jpg""&&&&""http://wx4.sinaimg.cn/bmiddle/726c1f87ly1gknfcexrxuj21400u07bf.jpg""&&&&""http://wx2.sinaimg.cn/bmiddle/726c1f87ly1gknfcfidacj21400u043j.jpg""&&&&""http://wx2.sinaimg.cn/bmiddle/726c1f87ly1gknfcg5pdwj21400u0qau.jpg""&&&&""http://wx2.sinaimg.cn/bmiddle/726c1f87ly1gknfch9u3dj21400u0tci.jpg""]""",87e094b372b564dcdd200246a831308e,5dd61af074fdfb4b78c2716cc1eb1226,cee6dd79e329ae2cf53412050b3b46d7,5c0eeb200f7932f5c763e5c4598e99a4,cee6dd79e329ae2cf53412050b3b46d7,5c0eeb200f7932f5c763e5c4598e99a4
转发微博 ,非敏感,转发,2020/11/13 14:55,@长三角铁路 #合安高铁开始试运行# 今天上午7点40分，G55401次合安高铁试运行动车组列车从合肥南站出发，中途停靠肥西站，上午8点41分到达安庆站，小编全程跟车体验，最新体验视频来啦！一起来看看合肥安庆间的高铁速度吧[馋嘴][馋嘴][馋嘴]，从外面的场景你能判断出都是哪里取的景呢[挖鼻]#在路上看中国# @中国铁路 @微博交通 ??? http://t.cn/A6GS8Xxz,普通,浙江,衢州,男,转发微博 【原微博】 @长三角铁路 #合安高铁开始试运行# 今天上午7点40分，G55401次合安高铁试运行动车组列车从合肥南站出发，中途停靠肥西站，上午8点41分到达安庆站，小编全程跟车体验，最新体验视频来啦！一起来看看合肥安庆间的高铁速度吧[馋嘴][馋嘴][馋嘴]，从外面的场景你能判断出都是哪里取的景呢[挖鼻]#在路上看中国# @中国铁路 @微博交通 ??? http://t.cn/A6GS8Xxz,104,7029,0,0,0,在路上看中国;合安高铁开始试运行,喜悦,其他, ,87e094b372b564dcdd200246a831308e,dc25ac7534b84fc5d2f90cbe4c5895d6,feb496722d871dc0cc907788feeddfd5,5c0eeb200f7932f5c763e5c4598e99a4,feb496722d871dc0cc907788feeddfd5,5c0eeb200f7932f5c763e5c4598e99a4
转发微博 ,非敏感,转发,2020/11/13 14:55,@长三角铁路 #在路上看中国# 【合安高铁今日试运行！】11月13日7时40分，G55401次动车组列车从合肥南沪蓉场出发，沿着合肥至安庆高速铁路驶向千年古城、“黄梅戏”故乡——安庆，进行运行图参数等项目测试。这标志着合安高铁正式进入试运行阶段，距离12月中旬线路具备开通运营条件的目标越来越近。#合安高铁开始试运行# @中国铁路 @微博交通  http://t.cn/A6GSmSKx,普通,浙江,衢州,男,转发微博 【原微博】 @长三角铁路 #在路上看中国# 【合安高铁今日试运行！】11月13日7时40分，G55401次动车组列车从合肥南沪蓉场出发，沿着合肥至安庆高速铁路驶向千年古城、“黄梅戏”故乡——安庆，进行运行图参数等项目测试。这标志着合安高铁正式进入试运行阶段，距离12月中旬线路具备开通运营条件的目标越来越近。#合安高铁开始试运行# @中国铁路 @微博交通  http://t.cn/A6GSmSKx,104,7029,0,0,0,在路上看中国;合安高铁开始试运行,中性,其他, ,87e094b372b564dcdd200246a831308e,05789049162131c351f5dc3c6ab7aaa2,db4e5da3f492af9511f49cdec0592607,5c0eeb200f7932f5c763e5c4598e99a4,db4e5da3f492af9511f49cdec0592607,5c0eeb200f7932f5c763e5c4598e99a4
转发微博 ,非敏感,转发,2020/11/13 14:56,@长三角铁路 #合安高铁开始试运行# 今天上午7点40分，G55401次合安高铁试运行动车组列车从合肥南站出发，中途停靠肥西站，上午8点41分到达安庆站，小编全程跟车体验，最新体验视频来啦！一起来看看合肥安庆间的高铁速度吧[馋嘴][馋嘴][馋嘴]，从外面的场景你能判断出都是哪里取的景呢[挖鼻]#在路上看中国# @中国铁路 @微博交通 ??? http://t.cn/A6GS8Xxz,普通,浙江,衢州,男,转发微博 【原微博】 @长三角铁路 #合安高铁开始试运行# 今天上午7点40分，G55401次合安高铁试运行动车组列车从合肥南站出发，中途停靠肥西站，上午8点41分到达安庆站，小编全程跟车体验，最新体验视频来啦！一起来看看合肥安庆间的高铁速度吧[馋嘴][馋嘴][馋嘴]，从外面的场景你能判断出都是哪里取的景呢[挖鼻]#在路上看中国# @中国铁路 @微博交通 ??? http://t.cn/A6GS8Xxz,0,972,0,0,0,在路上看中国;合安高铁开始试运行,喜悦,其他, ,063c861e7292fc75b22d45219fa62a24,b5b3abb33a65f7fc2a54b10f17d6ce3c,feb496722d871dc0cc907788feeddfd5,5c0eeb200f7932f5c763e5c4598e99a4,feb496722d871dc0cc907788feeddfd5,5c0eeb200f7932f5c763e5c4598e99a4
转发微博 ,非敏感,转发,2020/11/13 14:56,@长三角铁路 #在路上看中国# 【合安高铁今日试运行！】11月13日7时40分，G55401次动车组列车从合肥南沪蓉场出发，沿着合肥至安庆高速铁路驶向千年古城、“黄梅戏”故乡——安庆，进行运行图参数等项目测试。这标志着合安高铁正式进入试运行阶段，距离12月中旬线路具备开通运营条件的目标越来越近。#合安高铁开始试运行# @中国铁路 @微博交通  http://t.cn/A6GSmSKx,普通,浙江,衢州,男,转发微博 【原微博】 @长三角铁路 #在路上看中国# 【合安高铁今日试运行！】11月13日7时40分，G55401次动车组列车从合肥南沪蓉场出发，沿着合肥至安庆高速铁路驶向千年古城、“黄梅戏”故乡——安庆，进行运行图参数等项目测试。这标志着合安高铁正式进入试运行阶段，距离12月中旬线路具备开通运营条件的目标越来越近。#合安高铁开始试运行# @中国铁路 @微博交通  http://t.cn/A6GSmSKx,0,972,0,0,0,在路上看中国;合安高铁开始试运行,喜悦,其他, ,063c861e7292fc75b22d45219fa62a24,7e60abced3aee19ec49fae66173799c0,db4e5da3f492af9511f49cdec0592607,5c0eeb200f7932f5c763e5c4598e99a4,db4e5da3f492af9511f49cdec0592607,5c0eeb200f7932f5c763e5c4598e99a4
转发微博 ,非敏感,转发,2020/11/13 14:56,@长三角铁路 #合安高铁开始试运行# 美图欣赏:试运行列车奔驰在合安高铁上。（摄影:刘振华）#在路上看中国# @中国铁路 @微博交通 ??,普通,浙江,衢州,男,转发微博 【原微博】 @长三角铁路 #合安高铁开始试运行# 美图欣赏:试运行列车奔驰在合安高铁上。（摄影:刘振华）#在路上看中国# @中国铁路 @微博交通 ??,104,7029,0,0,0,在路上看中国;合安高铁开始试运行,喜悦,其他,"[http://wx3.sinaimg.cn/bmiddle/726c1f87ly1gknekv8ohmj21400u0ah1.jpg""]""",87e094b372b564dcdd200246a831308e,048fef5ad18622e8f7e0471831e6cfef,8b55641f9a0a4b7e6084ab07ff0e4a0d,5c0eeb200f7932f5c763e5c4598e99a4,8b55641f9a0a4b7e6084ab07ff0e4a0d,5c0eeb200f7932f5c763e5c4598e99a4
转发微博 ,非敏感,转发,2020/11/13 14:56,@长三角铁路 #在路上看中国# 【今天起，#合安高铁开始试运行#】今天，小编将和央视、新华社、人民网、中国新闻网、安徽电视台、安徽人民广播电台、安徽日报等近20家中央和地方媒体记者，从合肥南站登上前往安庆站的试运行列车，带大家体验合肥至安庆间的高铁速度，小编将在@长三角铁路 微博动态发布相关信息，请持续关注哦！@中国铁路 @微博交通,普通,浙江,衢州,男,转发微博 【原微博】 @长三角铁路 #在路上看中国# 【今天起，#合安高铁开始试运行#】今天，小编将和央视、新华社、人民网、中国新闻网、安徽电视台、安徽人民广播电台、安徽日报等近20家中央和地方媒体记者，从合肥南站登上前往安庆站的试运行列车，带大家体验合肥至安庆间的高铁速度，小编将在@长三角铁路 微博动态发布相关信息，请持续关注哦！@中国铁路 @微博交通,0,972,0,0,0,在路上看中国;合安高铁开始试运行,喜悦,其他,"[http://wx3.sinaimg.cn/bmiddle/726c1f87gy1gkov05b6eej20p30jbgzq.jpg""]""",063c861e7292fc75b22d45219fa62a24,b5bda64b87cc06de60839ff3e875e01d,44fb5f8c0630226bebfc9255f8232f3e,5c0eeb200f7932f5c763e5c4598e99a4,44fb5f8c0630226bebfc9255f8232f3e,5c0eeb200f7932f5c763e5c4598e99a4
转发微博 ,非敏感,转发,2020/11/13 14:56,@长三角铁路 #在路上看中国# 【今天起，#合安高铁开始试运行#】今天，小编将和央视、新华社、人民网、中国新闻网、安徽电视台、安徽人民广播电台、安徽日报等近20家中央和地方媒体记者，从合肥南站登上前往安庆站的试运行列车，带大家体验合肥至安庆间的高铁速度，小编将在@长三角铁路 微博动态发布相关信息，请持续关注哦！@中国铁路 @微博交通,普通,浙江,衢州,男,转发微博 【原微博】 @长三角铁路 #在路上看中国# 【今天起，#合安高铁开始试运行#】今天，小编将和央视、新华社、人民网、中国新闻网、安徽电视台、安徽人民广播电台、安徽日报等近20家中央和地方媒体记者，从合肥南站登上前往安庆站的试运行列车，带大家体验合肥至安庆间的高铁速度，小编将在@长三角铁路 微博动态发布相关信息，请持续关注哦！@中国铁路 @微博交通,104,7029,0,0,0,在路上看中国;合安高铁开始试运行,中性,其他,"[http://wx3.sinaimg.cn/bmiddle/726c1f87gy1gkov05b6eej20p30jbgzq.jpg""]""",87e094b372b564dcdd200246a831308e,545f32b028e576873232d7ec904249b3,44fb5f8c0630226bebfc9255f8232f3e,5c0eeb200f7932f5c763e5c4598e99a4,44fb5f8c0630226bebfc9255f8232f3e,5c0eeb200f7932f5c763e5c4598e99a4
转发微博 ,非敏感,转发,2020/11/13 14:56,@长三角铁路 #合安高铁开始试运行# 上午8点41分，试运行列车到达终点站安庆站。试运行是按试验大纲要求，原则上利用不少于一个月的时间，进行列车运行图参数测试、故障模拟、应急救援演练、按图行车试验等项目测试，为正式开通运营提供科学依据。试运行使用的列车与正式开通运行的动车组列车基本一致，不同的是，运行试验列车是模拟办理客运业务。合安高铁已经试运行啦！离开通就更近啦！让我们期待正式开通后，相约来打卡吧！#在路上看中国#? @中国铁路 @微博交通 http://t.cn/A6GSYhOd,普通,浙江,衢州,男,转发微博 【原微博】 @长三角铁路 #合安高铁开始试运行# 上午8点41分，试运行列车到达终点站安庆站。试运行是按试验大纲要求，原则上利用不少于一个月的时间，进行列车运行图参数测试、故障模拟、应急救援演练、按图行车试验等项目测试，为正式开通运营提供科学依据。试运行使用的列车与正式开通运行的动车组列车基本一致，不同的是，运行试验列车是模拟办理客运业务。合安高铁已经试运行啦！离开通就更近啦！让我们期待正式开通后，相约来打卡吧！#在路上看中国#? @中国铁路 @微博交通 http://t.cn/A6GSYhOd,104,7029,0,0,0,在路上看中国;合安高铁开始试运行,喜悦,其他, ,87e094b372b564dcdd200246a831308e,5bd70e1a734ce69b2a1c725804c93708,9f3dfaf43940263a8922701ba3ed4cfa,5c0eeb200f7932f5c763e5c4598e99a4,9f3dfaf43940263a8922701ba3ed4cfa,5c0eeb200f7932f5c763e5c4598e99a4
转发微博 ,非敏感,转发,2020/11/13 14:57,@合肥看点 【#合肥#始发的高铁试运行！全程仅需1小时】今天早晨7点40分，合安高铁第一趟试运行列车从合肥南站出发，驶向千年古城、“黄梅戏”故乡安庆，全程用时1小时！作为安徽省首次自主投资为主建设的高铁项目，这条高铁线开通在即。#合安高铁今天试运行# http://t.cn/R2WxOni http://t.cn/A6GSrMCh ??,普通,安徽, ,男,转发微博 【原微博】 @合肥看点 【#合肥#始发的高铁试运行！全程仅需1小时】今天早晨7点40分，合安高铁第一趟试运行列车从合肥南站出发，驶向千年古城、“黄梅戏”故乡安庆，全程用时1小时！作为安徽省首次自主投资为主建设的高铁项目，这条高铁线开通在即。#合安高铁今天试运行# http://t.cn/R2WxOni http://t.cn/A6GSrMCh ??,0,39,0,0,0,合安高铁今天试运行;合肥,喜悦,其他, ,c6abbebe3eb4ca3741e990201af8711d,c36a74c8d8287bd7be6bd95fe0acdb04,7f4c5a90b79b2bdf7213ede425a5e15e,30164589befe04efd90dc8fad3c56971,7f4c5a90b79b2bdf7213ede425a5e15e,30164589befe04efd90dc8fad3c56971
转发微博 ,非敏感,转发,2020/11/13 14:57,@长三角铁路 #合安高铁开始试运行# 上午8点41分，试运行列车到达终点站安庆站。试运行是按试验大纲要求，原则上利用不少于一个月的时间，进行列车运行图参数测试、故障模拟、应急救援演练、按图行车试验等项目测试，为正式开通运营提供科学依据。试运行使用的列车与正式开通运行的动车组列车基本一致，不同的是，运行试验列车是模拟办理客运业务。合安高铁已经试运行啦！离开通就更近啦！让我们期待正式开通后，相约来打卡吧！#在路上看中国#? @中国铁路 @微博交通 http://t.cn/A6GSYhOd,普通,浙江,衢州,男,转发微博 【原微博】 @长三角铁路 #合安高铁开始试运行# 上午8点41分，试运行列车到达终点站安庆站。试运行是按试验大纲要求，原则上利用不少于一个月的时间，进行列车运行图参数测试、故障模拟、应急救援演练、按图行车试验等项目测试，为正式开通运营提供科学依据。试运行使用的列车与正式开通运行的动车组列车基本一致，不同的是，运行试验列车是模拟办理客运业务。合安高铁已经试运行啦！离开通就更近啦！让我们期待正式开通后，相约来打卡吧！#在路上看中国#? @中国铁路 @微博交通 http://t.cn/A6GSYhOd,0,972,0,0,0,在路上看中国;合安高铁开始试运行,中性,其他, ,063c861e7292fc75b22d45219fa62a24,08730503fc302413a44c5b09606ec71e,9f3dfaf43940263a8922701ba3ed4cfa,5c0eeb200f7932f5c763e5c4598e99a4,9f3dfaf43940263a8922701ba3ed4cfa,5c0eeb200f7932f5c763e5c4598e99a4
//@安庆望江公安华阳派出所: //@望江论坛:转发微博 ,非敏感,转发,2020/11/13 14:58,@安庆发布 #安庆身边事#【合安高铁今日试运行！】11月13日7时40分G55401次动车组列车从合肥南沪蓉场出发沿着合肥至安庆高速铁路驶向千年古城、“黄梅戏”故乡——安庆，进行运行图参数等项目测试。这标志着合安高铁正式进入试运行阶段，距离12月中旬线路具备开通运营条件的目标越来越近。合安高铁2016年11月12日全线开工；今年3月26日，全线完成铺轨任务， 9月10日开始联调联试。截至11月12日，共组织开行各类试验列车1068列，检测总里程42576公里，综合检测列车试验最高时速达385公里，预计12,普通,安徽,安庆,男,//@安庆望江公安华阳派出所: //@望江论坛:转发微博 【原微博】 @安庆发布 #安庆身边事#【合安高铁今日试运行！】11月13日7时40分G55401次动车组列车从合肥南沪蓉场出发沿着合肥至安庆高速铁路驶向千年古城、“黄梅戏”故乡——安庆，进行运行图参数等项目测试。这标志着合安高铁正式进入试运行阶段，距离12月中旬线路具备开通运营条件的目标越来越近。合安高铁2016年11月12日全线开工；今年3月26日，全线完成铺轨任务， 9月10日开始联调联试。截至11月12日，共组织开行各类试验列车1068列，检测总里程42576公里，综合检测列车试验最高时速达385公里，预计12月中旬具备开通运营条件。合安高铁是合肥至南昌间快速客运主通道，线路承南接北，北端在合肥枢纽衔接商合杭、合蚌、京福等高铁，沟通京津冀及山东皖北等广大片区，往东南沟通江浙沪等大片区域，南端在安庆地区通过与安九、昌九、昌吉赣、赣深以及杭长等快速客运铁路串联，沟通江西、湖南、珠三角等片区。这条“大动脉”建成通车后，合肥与安庆、皖江城市带与环鄱阳城市圈的时空距离将近一步缩短，对完善铁路网布局，开发旅游资源，助力长江经济带和长三角一体化高质量发展具有重要意义。via@长三角铁路,76,48635,0,0,0,安庆身边事,中性,"安徽省,安徽,望江公安,安庆,望江县,安庆市","[http://wx1.sinaimg.cn/bmiddle/ab5cb03cly1gknacv6cw4j20zk0qodkn.jpg""&&&&""http://wx1.sinaimg.cn/bmiddle/ab5cb03cly1gknacutib7j20zk0np17x.jpg""&&&&""http://wx3.sinaimg.cn/bmiddle/ab5cb03cly1gknacw1k8qj20p30jb7pn.jpg""]""",bdd8788cc9138d864f549d2dcb4cae6a,ea5b47eff780bf11bfd511c56d37c5d4,95a43f3965ddc41df66f43b0c116059e,d634b497b04a8e7cdc90994febd14eca,d8456e82fb6c64d036c4c9b10ccd2752,0a0dfb5c7d5a85c920df1513af05260b
转发微博 ,非敏感,转发,2020/11/13 14:59,@合肥看点 【#合肥#始发的高铁试运行！全程仅需1小时】今天早晨7点40分，合安高铁第一趟试运行列车从合肥南站出发，驶向千年古城、“黄梅戏”故乡安庆，全程用时1小时！作为安徽省首次自主投资为主建设的高铁项目，这条高铁线开通在即。#合安高铁今天试运行# http://t.cn/R2WxOni http://t.cn/A6GSrMCh ??,普通,安徽, ,男,转发微博 【原微博】 @合肥看点 【#合肥#始发的高铁试运行！全程仅需1小时】今天早晨7点40分，合安高铁第一趟试运行列车从合肥南站出发，驶向千年古城、“黄梅戏”故乡安庆，全程用时1小时！作为安徽省首次自主投资为主建设的高铁项目，这条高铁线开通在即。#合安高铁今天试运行# http://t.cn/R2WxOni http://t.cn/A6GSrMCh ??,0,39,0,0,0,合安高铁今天试运行;合肥,喜悦,其他, ,6f99e20a53ef75562ce6e4ae1ea318bf,e67a0a2947a3ca8cd7af3fde2a17e671,7f4c5a90b79b2bdf7213ede425a5e15e,30164589befe04efd90dc8fad3c56971,7f4c5a90b79b2bdf7213ede425a5e15e,30164589befe04efd90dc8fad3c56971
转发微博 ,非敏感,转发,2020/11/13 14:59,@广西沿海铁路 今天上午7点40分，G55401次合安高铁试运行动车组列车从合肥南站出发，中途停靠肥西站，上午8点41分到达安庆站，小编全程跟车体验，最新体验视频来啦！一起来看看合肥安庆间的高铁速度吧，从外面的场景你能判断出都是哪里取的景呢@长三角铁路http://t.cn/A6GS8Xxz ??,普通,广西,防城港,男,转发微博 【原微博】 @广西沿海铁路 今天上午7点40分，G55401次合安高铁试运行动车组列车从合肥南站出发，中途停靠肥西站，上午8点41分到达安庆站，小编全程跟车体验，最新体验视频来啦！一起来看看合肥安庆间的高铁速度吧，从外面的场景你能判断出都是哪里取的景呢@长三角铁路http://t.cn/A6GS8Xxz ??,72,5910,0,0,0, ,喜悦,其他, ,7eb9652344428b2445b1d077685cb61b,7a3a1e079c3ea9fd7b0bb6a08d29c3ce,2bcdaffaf90c8048196c5d56db8bc10e,44cca64b5647c1a025f0d1634f9556c0,2bcdaffaf90c8048196c5d56db8bc10e,44cca64b5647c1a025f0d1634f9556c0
【中国铁路：合安高铁开始试运行，预计 12 月中旬开通运营，设计时速 350 公里】试运行期间将进行列车运行图参数测试、故障模拟、按图行车试验、应急救援演练等项目测试，随后将进入验收阶段，预计 12 月中旬具备开通运营条件。……详情点击：http://t.cn/A6GoAqpx ??,非敏感,原创,2020/11/13 15:03, ,蓝V,北京, ,男,【中国铁路：合安高铁开始试运行，预计 12 月中旬开通运营，设计时速 350 公里】试运行期间将进行列车运行图参数测试、故障模拟、按图行车试验、应急救援演练等项目测试，随后将进入验收阶段，预计 12 月中旬具备开通运营条件。……详情点击：http://t.cn/A6GoAqpx ??,5969085,140507,1,0,3, ,中性,其他,"[http://wx1.sinaimg.cn/bmiddle/001ZzMwgly4gknk4c7thfj61120rtjwv02.jpg""]""",e2df3a6496fea3e40d629e2d760fff9c,83bdb7ddc1db0fe785a665dead48dd85,,,,
转发微博 ,非敏感,转发,2020/11/13 15:06,@合肥看点 【#合肥#始发的高铁试运行！全程仅需1小时】今天早晨7点40分，合安高铁第一趟试运行列车从合肥南站出发，驶向千年古城、“黄梅戏”故乡安庆，全程用时1小时！作为安徽省首次自主投资为主建设的高铁项目，这条高铁线开通在即。#合安高铁今天试运行# http://t.cn/R2WxOni http://t.cn/A6GSrMCh ??,普通,安徽, ,男,转发微博 【原微博】 @合肥看点 【#合肥#始发的高铁试运行！全程仅需1小时】今天早晨7点40分，合安高铁第一趟试运行列车从合肥南站出发，驶向千年古城、“黄梅戏”故乡安庆，全程用时1小时！作为安徽省首次自主投资为主建设的高铁项目，这条高铁线开通在即。#合安高铁今天试运行# http://t.cn/R2WxOni http://t.cn/A6GSrMCh ??,0,32,0,0,0,合安高铁今天试运行;合肥,中性,其他, ,acad77abd0719862faf2fd45b66e308b,8be70824ce28d03b1bc62dad3faad182,7f4c5a90b79b2bdf7213ede425a5e15e,30164589befe04efd90dc8fad3c56971,7f4c5a90b79b2bdf7213ede425a5e15e,30164589befe04efd90dc8fad3c56971
